36.0 APEX_CODE,FINEST;APEX_PROFILING,INFO;CALLOUT,INFO;DB,INFO;SYSTEM,DEBUG;VALIDATION,INFO;VISUALFORCE,INFO;WORKFLOW,INFO
12:37:03.1 (1275557)|USER_INFO|[EXTERNAL]|00524000001e3Uj|bedrijfsbureau@gsa.nl.sandbox|Midden-Europese standaardtijd|GMT+01:00
12:37:03.1 (1321336)|EXECUTION_STARTED
12:37:03.1 (1325064)|CODE_UNIT_STARTED|[EXTERNAL]|01p2400000Cr5V2|SiteRegisterControllerTest.testRegistration
12:37:03.1 (3270202)|HEAP_ALLOCATE|[72]|Bytes:3
12:37:03.1 (3309694)|HEAP_ALLOCATE|[77]|Bytes:152
12:37:03.1 (3329489)|HEAP_ALLOCATE|[342]|Bytes:408
12:37:03.1 (3351096)|HEAP_ALLOCATE|[355]|Bytes:408
12:37:03.1 (3370379)|HEAP_ALLOCATE|[467]|Bytes:48
12:37:03.1 (3401040)|HEAP_ALLOCATE|[139]|Bytes:6
12:37:03.1 (3416404)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:19
12:37:03.1 (3428914)|METHOD_ENTRY|[4]|01p2400000Cr5V2|SiteRegisterControllerTest.SiteRegisterControllerTest()
12:37:03.1 (3432831)|STATEMENT_EXECUTE|[4]
12:37:03.1 (3437298)|STATEMENT_EXECUTE|[4]
12:37:03.1 (3466235)|HEAP_ALLOCATE|[50]|Bytes:5
12:37:03.1 (3486177)|HEAP_ALLOCATE|[56]|Bytes:5
12:37:03.1 (3495019)|HEAP_ALLOCATE|[64]|Bytes:7
12:37:03.1 (4526634)|SYSTEM_MODE_ENTER|false
12:37:03.1 (4545237)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:5
12:37:03.1 (4553025)|SYSTEM_MODE_EXIT|false
12:37:03.1 (4562450)|METHOD_EXIT|[4]|SiteRegisterControllerTest
12:37:03.1 (4606784)|SYSTEM_MODE_ENTER|false
12:37:03.1 (4611964)|HEAP_ALLOCATE|[6]|Bytes:5
12:37:03.1 (4615443)|STATEMENT_EXECUTE|[5]
12:37:03.1 (4616855)|STATEMENT_EXECUTE|[6]
12:37:03.1 (17147232)|VARIABLE_SCOPE_BEGIN|[7]|SiteRegisterController.PORTAL_ACCOUNT_ID|Id|false|true
12:37:03.1 (17163781)|HEAP_ALLOCATE|[6]|Bytes:196
12:37:03.1 (17174271)|HEAP_ALLOCATE|[6]|Bytes:22
12:37:03.1 (17194430)|METHOD_ENTRY|[4]|01p2400000Cr5V1|SiteRegisterController.SiteRegisterController()
12:37:03.1 (17198749)|STATEMENT_EXECUTE|[4]
12:37:03.1 (17202785)|STATEMENT_EXECUTE|[4]
12:37:03.1 (17212616)|HEAP_ALLOCATE|[7]|Bytes:5
12:37:03.1 (17215892)|STATEMENT_EXECUTE|[7]
12:37:03.1 (17219312)|HEAP_ALLOCATE|[7]|Bytes:15
12:37:03.1 (17251747)|HEAP_ALLOCATE|[7]|Bytes:4
12:37:03.1 (17417340)|VARIABLE_ASSIGNMENT|[7]|SiteRegisterController.PORTAL_ACCOUNT_ID|"001x000xxx35tPNAAY"
12:37:03.1 (17435975)|METHOD_EXIT|[4]|SiteRegisterController
12:37:03.1 (17454621)|HEAP_ALLOCATE|[6]|Bytes:24
12:37:03.1 (17467437)|CONSTRUCTOR_ENTRY|[6]|01p2400000Cr5V1|<init>()
12:37:03.1 (17514131)|VARIABLE_SCOPE_BEGIN|[9]|this|SiteRegisterController|true|false
12:37:03.1 (17572475)|VARIABLE_ASSIGNMENT|[9]|this|{}|0x49ab5b38
12:37:03.1 (17584237)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:5
12:37:03.1 (17588513)|STATEMENT_EXECUTE|[4]
12:37:03.1 (17591192)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:5
12:37:03.1 (17593024)|STATEMENT_EXECUTE|[12]
12:37:03.1 (17594300)|STATEMENT_EXECUTE|[13]
12:37:03.1 (17595357)|STATEMENT_EXECUTE|[14]
12:37:03.1 (17596382)|STATEMENT_EXECUTE|[15]
12:37:03.1 (17597357)|STATEMENT_EXECUTE|[16]
12:37:03.1 (17606800)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:6
12:37:03.1 (17629974)|STATEMENT_EXECUTE|[9]
12:37:03.1 (17637119)|CONSTRUCTOR_EXIT|[6]|01p2400000Cr5V1|<init>()
12:37:03.1 (17640647)|VARIABLE_SCOPE_BEGIN|[6]|controller|SiteRegisterController|true|false
12:37:03.1 (17678081)|VARIABLE_ASSIGNMENT|[6]|controller|{}|0x49ab5b38
12:37:03.1 (17681167)|STATEMENT_EXECUTE|[7]
12:37:03.1 (17684856)|HEAP_ALLOCATE|[7]|Bytes:14
12:37:03.1 (17752550)|VARIABLE_ASSIGNMENT|[EXTERNAL]|this|{}|0x49ab5b38
12:37:03.1 (17761236)|VARIABLE_ASSIGNMENT|[EXTERNAL]|value|"test@force.com"
12:37:03.1 (17773910)|VARIABLE_ASSIGNMENT|[12]|this.username|"test@force.com"|0x49ab5b38
12:37:03.1 (17781803)|STATEMENT_EXECUTE|[8]
12:37:03.1 (17840079)|VARIABLE_ASSIGNMENT|[EXTERNAL]|this|{"username":"test@force.com"}|0x49ab5b38
12:37:03.1 (17846513)|VARIABLE_ASSIGNMENT|[EXTERNAL]|value|"test@force.com"
12:37:03.1 (17854842)|VARIABLE_ASSIGNMENT|[13]|this.email|"test@force.com"|0x49ab5b38
12:37:03.1 (17861687)|STATEMENT_EXECUTE|[9]
12:37:03.1 (17882036)|HEAP_ALLOCATE|[9]|Bytes:4
12:37:03.1 (17932878)|VARIABLE_ASSIGNMENT|[EXTERNAL]|this|{"email":"test@force.com","username":"test@force.com"}|0x49ab5b38
12:37:03.1 (17938813)|VARIABLE_ASSIGNMENT|[EXTERNAL]|value|"test"
12:37:03.1 (17947715)|HEAP_ALLOCATE|[16]|Bytes:5
12:37:03.1 (17951341)|STATEMENT_EXECUTE|[16]
12:37:03.1 (17952705)|STATEMENT_EXECUTE|[16]
12:37:03.1 (18016369)|HEAP_ALLOCATE|[16]|Bytes:4
12:37:03.1 (18036576)|VARIABLE_ASSIGNMENT|[16]|this.communityNickname|"test"|0x49ab5b38
12:37:03.1 (18045409)|STATEMENT_EXECUTE|[11]
12:37:03.1 (18061758)|METHOD_ENTRY|[11]|01p2400000Cr5V1|SiteRegisterController.registerUser()
12:37:03.1 (18080678)|VARIABLE_SCOPE_BEGIN|[22]|this|SiteRegisterController|true|false
12:37:03.1 (18100133)|VARIABLE_ASSIGNMENT|[22]|this|{"communityNickname":"test","email":"test@force.com","username":"test@force.com"}|0x49ab5b38
12:37:03.1 (18118849)|HEAP_ALLOCATE|[24]|Bytes:5
12:37:03.1 (18122586)|STATEMENT_EXECUTE|[22]
12:37:03.1 (18132068)|METHOD_ENTRY|[24]|01p2400000Cr5V1|SiteRegisterController.isValidPassword()
12:37:03.1 (18147765)|VARIABLE_SCOPE_BEGIN|[18]|this|SiteRegisterController|true|false
12:37:03.1 (18165999)|VARIABLE_ASSIGNMENT|[18]|this|{"communityNickname":"test","email":"test@force.com","username":"test@force.com"}|0x49ab5b38
12:37:03.1 (18195576)|HEAP_ALLOCATE|[19]|Bytes:5
12:37:03.1 (18199548)|STATEMENT_EXECUTE|[18]
12:37:03.1 (18200770)|STATEMENT_EXECUTE|[19]
12:37:03.1 (18239770)|VARIABLE_ASSIGNMENT|[EXTERNAL]|this|{"communityNickname":"test","email":"test@force.com","username":"test@force.com"}|0x49ab5b38
12:37:03.1 (18273040)|VARIABLE_ASSIGNMENT|[EXTERNAL]|this|{"communityNickname":"test","email":"test@force.com","username":"test@force.com"}|0x49ab5b38
12:37:03.1 (18284875)|HEAP_ALLOCATE|[19]|Bytes:5
12:37:03.1 (18292004)|METHOD_EXIT|[24]|01p2400000Cr5V1|SiteRegisterController.isValidPassword()
12:37:03.1 (18297721)|STATEMENT_EXECUTE|[24]
12:37:03.1 (18299142)|STATEMENT_EXECUTE|[29]
12:37:03.1 (18343957)|HEAP_ALLOCATE|[29]|Bytes:4
12:37:03.1 (18447625)|VARIABLE_SCOPE_BEGIN|[29]|u|User|true|false
12:37:03.1 (18461126)|VARIABLE_ASSIGNMENT|[29]|u|{}|0xd333efb
12:37:03.1 (18463755)|STATEMENT_EXECUTE|[30]
12:37:03.1 (18502520)|VARIABLE_ASSIGNMENT|[EXTERNAL]|this|{"communityNickname":"test","email":"test@force.com","username":"test@force.com"}|0x49ab5b38
12:37:03.1 (18570129)|VARIABLE_ASSIGNMENT|[30]|this.Username|"test@force.com"|0xd333efb
12:37:03.1 (18574211)|STATEMENT_EXECUTE|[31]
12:37:03.1 (18614605)|VARIABLE_ASSIGNMENT|[EXTERNAL]|this|{"communityNickname":"test","email":"test@force.com","username":"test@force.com"}|0x49ab5b38
12:37:03.1 (18658186)|VARIABLE_ASSIGNMENT|[31]|this.Email|"test@force.com"|0xd333efb
12:37:03.1 (18661581)|STATEMENT_EXECUTE|[32]
12:37:03.1 (18700474)|VARIABLE_ASSIGNMENT|[EXTERNAL]|this|{"communityNickname":"test","email":"test@force.com","username":"test@force.com"}|0x49ab5b38
12:37:03.1 (18743316)|VARIABLE_ASSIGNMENT|[32]|this.CommunityNickname|"test"|0xd333efb
12:37:03.1 (18746816)|STATEMENT_EXECUTE|[34]
12:37:03.1 (18761187)|HEAP_ALLOCATE|[34]|Bytes:18
12:37:03.1 (18767029)|VARIABLE_SCOPE_BEGIN|[34]|accountId|String|false|false
12:37:03.1 (18772755)|VARIABLE_ASSIGNMENT|[34]|accountId|"001x000xxx35tPNAAY"
12:37:03.1 (18774552)|STATEMENT_EXECUTE|[37]
12:37:03.1 (18807044)|VARIABLE_ASSIGNMENT|[EXTERNAL]|this|{"communityNickname":"test","email":"test@force.com","username":"test@force.com"}|0x49ab5b38
12:37:03.1 (18873268)|HEAP_ALLOCATE|[37]|Bytes:145
12:37:03.1 (18883071)|SYSTEM_METHOD_ENTRY|[1]|Site.Site()
12:37:03.1 (18885189)|STATEMENT_EXECUTE|[1]
12:37:03.1 (18891897)|SYSTEM_METHOD_EXIT|[1]|Site
12:37:03.1 (18904847)|METHOD_ENTRY|[37]||System.Site.createPortalUser(SObject, String, String)
12:37:03.1 (18999541)|METHOD_EXIT|[37]||System.Site.createPortalUser(SObject, String, String)
12:37:03.1 (19007442)|VARIABLE_SCOPE_BEGIN|[37]|userId|String|false|false
12:37:03.1 (19015213)|VARIABLE_ASSIGNMENT|[37]|userId|null
12:37:03.1 (19018229)|STATEMENT_EXECUTE|[38]
12:37:03.1 (19019555)|STATEMENT_EXECUTE|[48]
12:37:03.1 (19026763)|METHOD_EXIT|[11]|01p2400000Cr5V1|SiteRegisterController.registerUser()
12:37:03.1 (19053421)|STATEMENT_EXECUTE|[13]
12:37:03.1 (19057667)|HEAP_ALLOCATE|[13]|Bytes:8
12:37:03.1 (19111296)|VARIABLE_ASSIGNMENT|[EXTERNAL]|this|{"communityNickname":"test","email":"test@force.com","username":"test@force.com"}|0x49ab5b38
12:37:03.1 (19120914)|VARIABLE_ASSIGNMENT|[EXTERNAL]|value|"abcd1234"
12:37:03.1 (19129577)|HEAP_ALLOCATE|[14]|Bytes:5
12:37:03.1 (19133109)|STATEMENT_EXECUTE|[14]
12:37:03.1 (19134459)|STATEMENT_EXECUTE|[14]
12:37:03.1 (19168589)|HEAP_ALLOCATE|[14]|Bytes:8
12:37:03.1 (19196942)|VARIABLE_ASSIGNMENT|[14]|this.password|"abcd1234"|0x49ab5b38
12:37:03.1 (19211214)|STATEMENT_EXECUTE|[14]
12:37:03.1 (19239176)|HEAP_ALLOCATE|[14]|Bytes:7
12:37:03.1 (19314703)|VARIABLE_ASSIGNMENT|[EXTERNAL]|this|{"communityNickname":"test","email":"test@force.com","password":"abcd1234","username":"test@force.com"}|0x49ab5b38
12:37:03.1 (19322849)|VARIABLE_ASSIGNMENT|[EXTERNAL]|value|"abcd123"
12:37:03.1 (19332283)|HEAP_ALLOCATE|[15]|Bytes:5
12:37:03.1 (19339950)|STATEMENT_EXECUTE|[15]
12:37:03.1 (19341444)|STATEMENT_EXECUTE|[15]
12:37:03.1 (19366155)|HEAP_ALLOCATE|[15]|Bytes:7
12:37:03.1 (19383308)|VARIABLE_ASSIGNMENT|[15]|this.confirmPassword|"abcd123"|0x49ab5b38
12:37:03.1 (19393025)|STATEMENT_EXECUTE|[15]
12:37:03.1 (19400466)|METHOD_ENTRY|[15]|01p2400000Cr5V1|SiteRegisterController.registerUser()
12:37:03.1 (19411266)|VARIABLE_SCOPE_BEGIN|[22]|this|SiteRegisterController|true|false
12:37:03.1 (19431199)|VARIABLE_ASSIGNMENT|[22]|this|{"communityNickname":"test","confirmPassword":"abcd123","email":"test@force.com","password":"abcd1234","username":"test@force.com"}|0x49ab5b38
12:37:03.1 (19444802)|HEAP_ALLOCATE|[24]|Bytes:5
12:37:03.1 (19448290)|STATEMENT_EXECUTE|[22]
12:37:03.1 (19453843)|METHOD_ENTRY|[24]|01p2400000Cr5V1|SiteRegisterController.isValidPassword()
12:37:03.1 (19457948)|VARIABLE_SCOPE_BEGIN|[18]|this|SiteRegisterController|true|false
12:37:03.1 (19475613)|VARIABLE_ASSIGNMENT|[18]|this|{"communityNickname":"test","confirmPassword":"abcd123","email":"test@force.com","password":"abcd1234","username":"test@force.com"}|0x49ab5b38
12:37:03.1 (19486996)|HEAP_ALLOCATE|[19]|Bytes:5
12:37:03.1 (19490052)|STATEMENT_EXECUTE|[18]
12:37:03.1 (19491131)|STATEMENT_EXECUTE|[19]
12:37:03.1 (19512756)|VARIABLE_ASSIGNMENT|[EXTERNAL]|this|{"communityNickname":"test","confirmPassword":"abcd123","email":"test@force.com","password":"abcd1234","username":"test@force.com"}|0x49ab5b38
12:37:03.1 (19537769)|VARIABLE_ASSIGNMENT|[EXTERNAL]|this|{"communityNickname":"test","confirmPassword":"abcd123","email":"test@force.com","password":"abcd1234","username":"test@force.com"}|0x49ab5b38
12:37:03.1 (19565244)|HEAP_ALLOCATE|[19]|Bytes:5
12:37:03.1 (19592408)|METHOD_EXIT|[24]|01p2400000Cr5V1|SiteRegisterController.isValidPassword()
12:37:03.1 (19600604)|STATEMENT_EXECUTE|[24]
12:37:03.1 (19602791)|STATEMENT_EXECUTE|[25]
12:37:03.1 (19782216)|HEAP_ALLOCATE|[25]|Bytes:4
12:37:03.1 (19787245)|HEAP_ALLOCATE|[25]|Bytes:20
12:37:03.1 (19967480)|HEAP_ALLOCATE|[25]|Bytes:24
12:37:03.1 (20016739)|VARIABLE_SCOPE_BEGIN|[25]|msg|ApexPages.Message|true|false
12:37:03.1 (20092005)|VARIABLE_ASSIGNMENT|[25]|msg|"core.apexpages.framework.ApexPagesMessage@c464773e"|0x2dcaccb
12:37:03.1 (20097610)|STATEMENT_EXECUTE|[26]
12:37:03.1 (20173856)|VF_PAGE_MESSAGE|Passwords did not match.
12:37:03.1 (20182902)|STATEMENT_EXECUTE|[27]
12:37:03.1 (20191250)|METHOD_EXIT|[15]|01p2400000Cr5V1|SiteRegisterController.registerUser()
12:37:03.1 (20207659)|SYSTEM_MODE_EXIT|false
12:37:03.20 (20219651)|CUMULATIVE_LIMIT_USAGE
12:37:03.20 (20219651)|LIMIT_USAGE_FOR_NS|(default)|
  Number of SOQL queries: 0 out of 100
  Number of query rows: 0 out of 50000
  Number of SOSL queries: 0 out of 20
  Number of DML statements: 0 out of 150
  Number of DML rows: 0 out of 10000
  Maximum CPU time: 0 out of 10000
  Maximum heap size: 0 out of 6000000
  Number of callouts: 0 out of 100
  Number of Email Invocations: 0 out of 10
  Number of future calls: 0 out of 50
